caseid,age,if_discrim,if_cyber_bullying,if_drugs,if_drink,if_school_attandence,if_mental_healthy,working_hour_weekly,number_relative_friends
146,4,0,NA,0,7,0,2,37.5,5
147,3,0,NA,0,7,0,3,15,12
148,5,0,NA,0,7,0,2,NA,8
149,4,0,NA,0,7,0,3,20,0
150,2,0,NA,0,3,1,2,NA,1
151,3,1,NA,0,7,0,1,40,20
152,4,0,NA,0,4,0,2,40,7
153,1,0,NA,0,NA,1,3,27.5,10
154,4,0,NA,0,7,0,3,NA,2
155,3,0,NA,0,4,0,2,50,10
156,6,0,NA,0,7,0,5,NA,1
157,2,0,NA,0,3,0,2,40,10
158,2,0,NA,0,7,0,2,35,5
159,4,0,NA,0,7,0,2,40,5
160,4,0,NA,0,7,0,2,40,24
161,6,0,NA,0,7,0,1,NA,30
162,4,0,NA,0,2,0,3,60,150
163,4,0,NA,0,3,0,1,45,30
164,1,0,NA,0,5,1,1,30,4
165,1,0,NA,0,7,1,2,NA,3
166,5,0,0,0,5,0,1,NA,10
167,4,0,NA,0,5,0,2,NA,10
168,6,0,NA,0,7,0,1,NA,2
169,5,1,NA,0,3,0,3,NA,6
170,6,0,NA,0,4,0,3,3,1
171,1,0,NA,0,5,1,1,15,5
172,2,1,NA,0,3,0,1,52,5
173,2,1,1,0,7,0,4,NA,2
174,7,1,NA,0,7,0,1,NA,4
175,4,0,NA,0,3,0,2,55,12
176,5,1,NA,0,7,0,2,NA,20
177,7,0,NA,0,7,0,1,NA,10
178,6,0,NA,0,3,0,1,NA,5
179,6,0,NA,0,7,0,1,NA,20
180,4,0,NA,0,7,1,1,40,3
181,4,0,NA,0,5,0,2,50,4
182,6,0,NA,0,7,0,1,NA,20
183,5,0,NA,0,6,0,3,50,2
184,5,0,NA,0,7,0,3,35,4
185,7,0,NA,0,5,0,2,NA,4
186,1,1,NA,0,7,1,2,10,15
187,1,0,NA,0,5,1,1,40,4
188,5,0,NA,0,3,0,2,NA,10
189,5,0,NA,0,7,0,2,NA,1
190,4,0,NA,0,7,0,1,30,2
191,1,0,NA,0,3,0,1,27,4
192,5,0,NA,0,5,0,5,NA,12
193,3,0,NA,0,4,0,2,10,20
194,7,0,NA,0,6,0,1,NA,6
195,1,0,NA,1,2,0,4,35,2
196,5,0,NA,0,7,0,1,60,0
197,7,0,NA,0,2,0,2,NA,20
198,2,0,NA,0,2,0,2,40,6
199,4,0,NA,0,7,0,1,40,1
200,6,1,0,0,7,0,2,50,10
201,2,0,NA,0,1,0,1,33.5,30
202,4,0,NA,0,7,0,1,37,2
203,3,0,NA,0,7,0,3,NA,3
204,7,0,NA,0,6,0,1,NA,2
205,7,0,NA,0,7,0,2,NA,NA
206,3,0,NA,0,7,0,3,30,4
207,7,0,NA,0,7,0,2,NA,8
208,4,0,NA,0,4,0,1,50,10
209,3,0,NA,0,4,0,1,40,20
210,4,0,NA,0,2,0,3,45,15
211,3,0,NA,0,4,0,2,27,3
212,1,0,NA,0,5,1,1,NA,4
213,5,0,NA,0,3,0,1,40,40
214,2,0,NA,1,5,0,2,60,15
215,5,0,NA,0,1,0,1,40,3
216,3,0,NA,0,6,1,2,NA,5
217,4,0,NA,0,6,0,4,NA,8
218,5,0,NA,0,4,1,3,NA,4
219,6,0,NA,0,3,0,2,NA,10
220,2,0,NA,0,7,0,2,35,4
221,3,1,NA,0,5,0,4,40,10
222,4,0,NA,0,5,0,2,50,15
223,7,0,NA,0,7,0,3,NA,20
224,3,0,NA,0,5,0,2,70,2
225,7,0,NA,0,7,0,1,NA,4
226,3,0,1,0,5,0,4,40,30
227,2,1,NA,0,4,1,1,37.5,6
228,3,0,NA,0,7,0,1,40,200
229,7,0,NA,0,3,0,3,NA,5
230,4,0,NA,NA,NA,0,2,40,10
231,2,1,NA,0,7,0,2,40,35
232,6,0,NA,0,7,0,2,50,10
233,2,0,NA,0,3,0,2,50,10
234,7,0,NA,0,5,0,1,NA,NA
235,1,0,0,0,4,1,2,7,4
236,1,0,NA,0,5,0,1,20.5,20
237,1,0,NA,0,7,1,1,5,6
238,6,0,NA,0,5,0,1,NA,45
239,4,0,NA,0,5,0,1,35,6
240,6,0,NA,0,7,0,1,NA,2
241,2,0,NA,0,4,0,2,50,5
242,3,0,NA,0,7,1,1,40,3
243,3,0,NA,0,7,1,3,35,6
244,7,0,NA,0,3,0,1,NA,24
245,3,0,NA,0,5,0,2,40,12
246,1,0,NA,0,6,1,1,32,10
247,6,0,NA,0,4,0,1,45,5
248,2,0,NA,0,6,0,3,NA,2
249,2,0,NA,0,3,0,2,40,8
250,5,1,NA,0,3,0,3,35,10
251,7,0,NA,0,5,0,2,NA,2
252,7,0,NA,0,4,0,3,NA,10
253,4,0,NA,0,5,0,1,NA,100
254,4,1,NA,0,3,0,2,35,5
255,6,0,NA,0,3,0,1,NA,10
256,2,0,NA,0,7,0,2,31.5,10
257,6,0,0,0,2,0,3,NA,6
258,5,0,NA,0,3,0,2,35,50
259,1,1,NA,0,7,1,3,NA,3
260,1,0,NA,0,4,0,1,52,10
261,4,0,NA,0,3,0,3,50,6
262,5,0,NA,0,3,0,3,NA,20
263,7,0,NA,0,7,0,2,NA,12
264,2,0,NA,0,7,0,2,40,4
265,1,0,NA,0,5,1,2,NA,10
266,6,0,NA,0,7,0,1,4,50
267,2,0,NA,0,7,0,2,30,3
268,1,0,NA,0,7,0,1,NA,2
269,5,0,NA,0,3,0,1,40,5
270,6,0,NA,0,4,0,1,NA,8
271,6,0,NA,0,4,0,2,NA,6
272,6,0,NA,0,7,0,1,NA,200
273,2,0,NA,0,3,0,2,40,10
274,7,0,NA,0,1,0,3,NA,10
275,3,0,NA,0,6,0,1,30,10
276,3,0,NA,0,7,0,3,35,4
277,4,0,NA,0,7,0,1,40,4
278,4,0,NA,0,4,0,2,8,10
279,7,0,NA,0,7,0,2,NA,100
280,5,0,NA,0,7,0,1,37,30
281,2,1,NA,0,4,0,4,37.5,10
282,5,0,NA,0,2,0,1,30,24
283,3,0,NA,0,6,0,3,40,15
284,5,0,NA,0,5,0,3,NA,14
285,3,0,NA,0,7,0,3,40,10
286,3,0,NA,0,3,0,2,40,2
287,5,0,NA,0,3,0,1,40,25
288,2,0,NA,0,4,0,2,36,10
289,5,0,NA,0,5,0,2,NA,5
290,4,0,NA,0,7,0,3,NA,1
291,5,0,NA,0,7,0,5,NA,3
292,6,0,NA,0,3,0,2,50,20
293,2,0,NA,0,4,0,3,50,5
294,4,0,NA,0,5,0,3,38,10
295,6,0,NA,0,5,0,1,NA,10
296,3,0,NA,0,4,0,2,70,30
297,1,0,NA,0,4,1,2,32.5,10
298,6,0,NA,0,7,0,2,NA,6
299,1,1,NA,0,7,1,2,12,15
300,2,1,0,0,7,0,2,40,3
301,3,0,NA,0,5,1,3,35,5
302,6,0,NA,0,7,0,5,NA,2
303,1,0,NA,0,5,1,1,25,25
304,7,0,NA,0,5,0,2,NA,6
305,3,0,NA,0,4,0,1,40,20
306,3,0,NA,0,7,0,2,40,10
307,6,0,NA,0,7,0,3,NA,2
